group	x	y	PANEL
1	-16.3942310876704	777	1
1	-14.338882900315	776	1
1	-12.5003805697826	775	1
1	-11.219227349318	774	1
1	-10.7230644815651	772	1
1	-10.3736607763397	772	1
1	-10.0920796982424	774	1
1	-9.75355403057961	772	1
1	-9.50764462719246	771	1
1	-9.25901144747998	770	1
1	-9.12858755107763	772	1
1	-9.08187599326486	771	1
1	-8.90792309230172	770	1
1	-8.7683551686132	769	1
1	-8.74055592427393	768	1
1	-8.67767802194121	767	1
1	-8.57837216853598	766	1
1	-8.4854933306308	765	1
1	-8.44705323739418	764	1
1	-8.42077030721397	760	1
1	-8.34089199148177	760	1
1	-8.25024324505369	759	1
1	-8.10209715561355	758	1
1	-7.97879381791009	758	1
1	-7.93793611335094	757	1
1	-7.86886307531268	756	1
1	-7.77222205998135	755	1
1	-7.69949839018135	754	1
1	-7.5539396407762	753	1
1	-7.35283558053513	752	1
1	-7.27807320626505	751	1
1	-7.25126374772574	750	1
1	-7.20120666394984	748	1
1	-7.12346544605813	747	1
1	-7.05492116473699	746	1
1	-7.00956475532429	744	1
1	-6.97494735519724	743	1
1	-6.93223412906505	742	1
1	-6.90024140316661	742	1
1	-6.89569513898463	741	1
1	-6.82797900042519	740	1
1	-6.68453119053985	739	1
1	-6.58540963728451	737	1
1	-6.49971752493808	736	1
1	-6.42713218863017	735	1
1	-6.34616892829557	734	1
1	-6.25097438128726	734	1
1	-6.22324908818946	733	1
1	-6.19184414491661	732	1
1	-6.14685356127844	731	1
1	-6.05524538179598	730	1
1	-5.96800763690761	730	1
1	-5.87037753775639	729	1
1	-5.77419074117104	728	1
1	-5.72133969088201	727	1
1	-5.62497001827464	727	1
1	-5.55240714069776	724	1
1	-5.53293468519122	724	1
1	-5.50569588693997	722	1
1	-5.4646434392133	721	1
1	-5.44692272245622	719	1
1	-5.3518610626523	718	1
1	-5.23469352747013	716	1
1	-5.19207940922556	715	1
1	-5.16529389012434	715	1
1	-5.12860257334783	712	1
1	-5.05957020762265	712	1
1	-5.01756974827663	711	1
1	-4.96359541277611	711	1
1	-4.87394217039713	709	1
1	-4.78844350519253	708	1
1	-4.73957215538378	708	1
1	-4.7166429531471	708	1
1	-4.66904267815129	708	1
1	-4.63743486864916	707	1
1	-4.63075545803751	706	1
1	-4.61746424080315	705	1
1	-4.60339963551292	703	1
1	-4.57907417326992	700	1
1	-4.54213893005056	700	1
1	-4.51876834413532	699	1
1	-4.48741800357326	698	1
1	-4.45610549316272	697	1
1	-4.41270937437108	694	1
1	-4.37690325717963	693	1
1	-4.35345004794257	692	1
1	-4.32099488731919	691	1
1	-4.26828021311241	690	1
1	-4.21580096631717	690	1
1	-4.19683740968438	689	1
1	-4.1797471544561	688	1
1	-4.16155491749339	686	1
1	-4.14838320933116	683	1
1	-4.11419137435992	682	1
1	-4.08132756432527	680	1
1	-4.07665993545431	678	1
1	-4.07230245122837	678	1
1	-4.06738304650466	677	1
1	-4.0545397123942	675	1
1	-4.04243895549004	673	1
1	-4.03808146317551	671	1
1	-4.02675884206321	670	1
1	-4.01383812939586	668	1
1	-4.00676887904415	667	1
1	-4.00327538478066	667	1
1	-3.97742851256795	666	1
1	-3.93843410103937	666	1
1	-3.90773898521246	662	1
1	-3.89004543620574	661	1
1	-3.87959138464783	660	1
1	-3.86887208063175	659	1
1	-3.85491879137633	658	1
1	-3.82450485536691	657	1
1	-3.80609791699405	655	1
1	-3.79926516667916	654	1
1	-3.78755363186469	652	1
1	-3.77688207534646	651	1
1	-3.76963254639298	647	1
1	-3.76332024584471	646	1
1	-3.75172166600012	645	1
1	-3.73679335436878	644	1
1	-3.72739597359487	644	1
1	-3.71260012207011	643	1
