group	xmin	xmax
1	-16.3942310876704	-8.41943781266922
2	-5.68606419110616	-5.68019686933278
3	-5.23172429838967	-5.227537973056
4	-5.05811442107273	-5.032418131609
5	-4.842313655333	-4.82798443283969
6	-4.6789933838898	-4.6637258402382
7	-4.51903609767361	-4.51293867057606
8	-4.38771533422517	-4.35901262170486
9	-4.18460344519053	-4.16429300437709
10	-4.06158260302792	-4.04955210064309
11	-3.94476203498485	-3.93646794893395
12	-3.81025788335166	-3.80653252303308
13	-3.71157425566633	-3.71122670467818
14	-3.57660002480693	-3.5750916537035
15	-3.52466769539359	-3.52118422531641
16	-3.42823263273867	-3.42473004384613
17	-3.30398132093749	-3.29863135040168
18	-3.2119075407842	-3.21151272415696
19	-3.1344527548686	-3.12324903042966
20	-3.02484722971776	-3.02354384094779
21	-2.93128680221697	-2.92742419418891
22	-2.85069479439728	-2.85060301427532
23	-2.7754323716963	-2.76872093205304
24	-2.6955156151269	-2.68491308925051
25	-2.56911696976905	-2.56790461867375
26	-2.45999488007467	-2.45978691558291
27	-2.37859382515111	-2.3730016017736
28	-2.27425329388636	-2.26388716335201
29	-2.17682784025068	-2.17195761048741
30	-2.08467220557066	-2.08256555260516
31	-1.98302554971916	-1.9823673135163
32	-1.95146051453891	-1.9512198877744
33	-1.84349074593148	-1.84106131070643
34	-1.77974867463151	-1.77926516503752
35	-1.68681294591079	-1.68672809973
36	-1.57741075839378	-1.57561712694303
37	-1.46454823934252	-1.46083116826142
38	-1.36231523534358	-1.36190230479628
39	-1.29258404540883	-1.28588754952247
40	-1.18347093738852	-1.18133218849469
41	-1.0596529590404	-1.05922936377684
42	-1	-1
43	-1	-1
44	-1	-1
45	-1	-1
46	-1	-1
47	-1	-1
48	-1	-1
49	-1	-1
50	-1	-1
51	-1	-1
52	-1	-1
53	-1	-1
54	-1	-1
55	-1	-1
56	-0.995853654680355	-0.994501027042429
57	-0.80438772995855	-0.800156017142846
58	-0.589666832896586	-0.582795762500052
59	0.0785626417953242	0.0846305326543799
60	0.377668633325355	0.38365338890936
61	0.536254405928606	0.54233458573229
62	0.597322669915513	0.598043437883515
63	0.642896016127805	0.651541651653744
64	0.681069574355341	0.681814486460484
65	0.714693383533776	0.716552777166566
66	0.74210473262661	0.744629701196979
67	0.768378971458761	0.772352116929124
